"from","to","strength","direction"
"prop_CD4_T","Mstate_simple_TAM_immunosuppressive",0.999,0.527459677419355
"Mstate_simple_TAM_immunosuppressive","prop_CD4_T",0.999,0.472540322580645
"Tcell_Myeloid_ratio","Mstate_simple_dendritic_cell",0.973,0.46384852216718
"Mstate_simple_dendritic_cell","Tcell_Myeloid_ratio",0.973,0.53615147783282
"prop_Fibroblast","prop_Endothelial_cells",0.933,0.37603389966639
"prop_Endothelial_cells","prop_Fibroblast",0.933,0.62396610033361
"prop_NK","Tstate_simple_cytotoxic",0.927,0.50896910989114
"Tstate_simple_cytotoxic","prop_NK",0.927,0.49103089010886
"prop_Endothelial_cells","CD8_CD4_ratio",0.846,0.609786383800265
"CD8_CD4_ratio","prop_Endothelial_cells",0.846,0.390213616199735
"prop_CD4_T","Tcell_Myeloid_ratio",0.832,0.313813820886614
"Tcell_Myeloid_ratio","prop_CD4_T",0.832,0.686186179113386
"prop_B","Mstate_simple_dendritic_cell",0.8,0.28171658180026
"Mstate_simple_dendritic_cell","prop_B",0.8,0.71828341819974
"Tstate_simple_exhausted","Mstate_simple_TAM_immunosuppressive",0.784,0.235316044676941
"Mstate_simple_TAM_immunosuppressive","Tstate_simple_exhausted",0.784,0.764683955323059
"prop_CD4_T","Immune_Tumor_ratio",0.761,0.695877714883935
"Immune_Tumor_ratio","prop_CD4_T",0.761,0.304122285116065
"prop_Epithelial_cells","Tstate_simple_regulatory",0.755,0.695353932542257
"Tstate_simple_regulatory","prop_Epithelial_cells",0.755,0.304646067457743
"prop_CD8_T","prop_Epithelial_cells",0.65,0.341352234880301
"prop_Epithelial_cells","prop_CD8_T",0.65,0.658647765119699
"Tstate_simple_exhausted","Tstate_simple_cytotoxic",0.639,0.450154479981978
"Tstate_simple_cytotoxic","Tstate_simple_exhausted",0.639,0.549845520018022
"Tstate_simple_cytotoxic","Tstate_simple_regulatory",0.629,0.572426704157675
"Tstate_simple_regulatory","Tstate_simple_cytotoxic",0.629,0.427573295842325
"prop_CD8_T","prop_NK",0.622,0.356353968468229
"prop_NK","prop_CD8_T",0.622,0.643646031531771
"prop_Epithelial_cells","Mstate_simple_TAM_immunosuppressive",0.611,0.249636985998314
"Mstate_simple_TAM_immunosuppressive","prop_Epithelial_cells",0.611,0.750363014001686
"prop_Fibroblast","Mstate_simple_TAM_immunosuppressive",0.609,0.35132369411727
"Mstate_simple_TAM_immunosuppressive","prop_Fibroblast",0.609,0.64867630588273
"CD8_CD4_ratio","Tstate_simple_cytotoxic",0.594,0.615658407438299
"Tstate_simple_cytotoxic","CD8_CD4_ratio",0.594,0.384341592561701
"CD8_CD4_ratio","Tstate_simple_regulatory",0.582,0.622732245078659
"Tstate_simple_regulatory","CD8_CD4_ratio",0.582,0.377267754921341
"prop_CD8_T","Tstate_simple_exhausted",0.543,0.62428000548575
"Tstate_simple_exhausted","prop_CD8_T",0.543,0.375719994514251
"Tstate_simple_cytotoxic","Mstate_simple_TAM_immunosuppressive",0.525,0.662182025542725
"Mstate_simple_TAM_immunosuppressive","Tstate_simple_cytotoxic",0.525,0.337817974457275
"prop_B","Immune_Tumor_ratio",0.51,0.564006809120117
"Immune_Tumor_ratio","prop_B",0.51,0.435993190879883
"prop_Fibroblast","Tstate_simple_regulatory",0.488,0.467789104278075
"Tstate_simple_regulatory","prop_Fibroblast",0.488,0.532210895721925
"prop_CD8_T","Mstate_simple_dendritic_cell",0.456,0.576174790466087
"Mstate_simple_dendritic_cell","prop_CD8_T",0.456,0.423825209533913
"Tcell_Myeloid_ratio","Mstate_simple_TAM_immunosuppressive",0.424,0.62445820728458
"Mstate_simple_TAM_immunosuppressive","Tcell_Myeloid_ratio",0.424,0.375541792715421
"prop_CD8_T","Immune_Tumor_ratio",0.415,0.699545913434382
"Immune_Tumor_ratio","prop_CD8_T",0.415,0.300454086565618
"prop_CD8_T","prop_B",0.395,0.621192814610407
"prop_B","prop_CD8_T",0.395,0.378807185389593
"prop_CD4_T","prop_Epithelial_cells",0.388,0.66580674485744
"prop_Epithelial_cells","prop_CD4_T",0.388,0.334193255142561
"prop_B","prop_Endothelial_cells",0.378,0.776952696528459
"prop_Endothelial_cells","prop_B",0.378,0.223047303471541
"prop_B","Mstate_simple_TAM_immunosuppressive",0.367,0.59470573902549
"Mstate_simple_TAM_immunosuppressive","prop_B",0.367,0.40529426097451
"prop_CD4_T","Mstate_simple_dendritic_cell",0.359,0.409505865977923
"Mstate_simple_dendritic_cell","prop_CD4_T",0.359,0.590494134022077
"prop_B","Tcell_Myeloid_ratio",0.352,0.386832520158413
"Tcell_Myeloid_ratio","prop_B",0.352,0.613167479841587
"Tcell_Myeloid_ratio","Tstate_simple_cytotoxic",0.344,0.443547320654475
"Tstate_simple_cytotoxic","Tcell_Myeloid_ratio",0.344,0.556452679345525
"prop_Epithelial_cells","CD8_CD4_ratio",0.329,0.427969974219057
"CD8_CD4_ratio","prop_Epithelial_cells",0.329,0.572030025780943
"Immune_Tumor_ratio","Mstate_simple_dendritic_cell",0.324,0.396282720087068
"Mstate_simple_dendritic_cell","Immune_Tumor_ratio",0.324,0.603717279912932
"prop_B","Tstate_simple_exhausted",0.311,0.559774912222995
"Tstate_simple_exhausted","prop_B",0.311,0.440225087777005
"prop_Epithelial_cells","Tstate_simple_exhausted",0.31,0.647622081619096
"Tstate_simple_exhausted","prop_Epithelial_cells",0.31,0.352377918380904
"prop_Fibroblast","Tstate_simple_exhausted",0.308,0.689259678230266
"Tstate_simple_exhausted","prop_Fibroblast",0.308,0.310740321769734
