"from","to","n_methods","methods"
"Mstate_simple_dendritic_cell","Tcell_Myeloid_ratio",2,"Bootstrap_50pct, PC_stringent"
"Mstate_simple_dendritic_cell","prop_B",2,"Bootstrap_50pct, PC_stringent"
"prop_CD4_T","Mstate_simple_TAM_immunosuppressive",2,"Bootstrap_50pct, PC_stringent"
"prop_Endothelial_cells","CD8_CD4_ratio",2,"Bootstrap_50pct, PC_stringent"
"prop_Epithelial_cells","Tstate_simple_regulatory",2,"Bootstrap_50pct, PC_stringent"
"prop_Fibroblast","prop_Endothelial_cells",2,"Bootstrap_50pct, PC_stringent"
"prop_NK","Tstate_simple_cytotoxic",2,"Bootstrap_50pct, PC_stringent"
"CD8_CD4_ratio","Tstate_simple_cytotoxic",1,"Bootstrap_50pct"
"CD8_CD4_ratio","Tstate_simple_regulatory",1,"Bootstrap_50pct"
"CD8_CD4_ratio","prop_Endothelial_cells",1,"Bootstrap_50pct"
"Immune_Tumor_ratio","prop_B",1,"Bootstrap_50pct"
"Immune_Tumor_ratio","prop_CD4_T",1,"Bootstrap_50pct"
"Mstate_simple_TAM_immunosuppressive","Tstate_simple_cytotoxic",1,"Bootstrap_50pct"
"Mstate_simple_TAM_immunosuppressive","Tstate_simple_exhausted",1,"Bootstrap_50pct"
"Mstate_simple_TAM_immunosuppressive","prop_CD4_T",1,"Bootstrap_50pct"
"Mstate_simple_TAM_immunosuppressive","prop_Epithelial_cells",1,"Bootstrap_50pct"
"Mstate_simple_TAM_immunosuppressive","prop_Fibroblast",1,"Bootstrap_50pct"
"Tcell_Myeloid_ratio","Mstate_simple_dendritic_cell",1,"Bootstrap_50pct"
"Tcell_Myeloid_ratio","prop_CD4_T",1,"Bootstrap_50pct"
"Tstate_simple_cytotoxic","CD8_CD4_ratio",1,"Bootstrap_50pct"
"Tstate_simple_cytotoxic","Mstate_simple_TAM_immunosuppressive",1,"Bootstrap_50pct"
"Tstate_simple_cytotoxic","Tstate_simple_exhausted",1,"Bootstrap_50pct"
"Tstate_simple_cytotoxic","Tstate_simple_regulatory",1,"Bootstrap_50pct"
"Tstate_simple_cytotoxic","prop_NK",1,"Bootstrap_50pct"
"Tstate_simple_exhausted","Mstate_simple_TAM_immunosuppressive",1,"Bootstrap_50pct"
"Tstate_simple_exhausted","Tstate_simple_cytotoxic",1,"Bootstrap_50pct"
"Tstate_simple_exhausted","prop_CD8_T",1,"Bootstrap_50pct"
"Tstate_simple_regulatory","CD8_CD4_ratio",1,"Bootstrap_50pct"
"Tstate_simple_regulatory","Tstate_simple_cytotoxic",1,"Bootstrap_50pct"
"Tstate_simple_regulatory","prop_Epithelial_cells",1,"Bootstrap_50pct"
"prop_B","Immune_Tumor_ratio",1,"Bootstrap_50pct"
"prop_B","Mstate_simple_dendritic_cell",1,"Bootstrap_50pct"
"prop_CD4_T","Immune_Tumor_ratio",1,"Bootstrap_50pct"
"prop_CD4_T","Tcell_Myeloid_ratio",1,"Bootstrap_50pct"
"prop_CD8_T","Tstate_simple_exhausted",1,"Bootstrap_50pct"
"prop_CD8_T","prop_Epithelial_cells",1,"Bootstrap_50pct"
"prop_CD8_T","prop_NK",1,"Bootstrap_50pct"
"prop_Endothelial_cells","prop_Fibroblast",1,"Bootstrap_50pct"
"prop_Epithelial_cells","Mstate_simple_TAM_immunosuppressive",1,"Bootstrap_50pct"
"prop_Epithelial_cells","prop_CD8_T",1,"Bootstrap_50pct"
"prop_Fibroblast","Mstate_simple_TAM_immunosuppressive",1,"Bootstrap_50pct"
"prop_NK","prop_CD8_T",1,"Bootstrap_50pct"
