"from","to","n_methods","methods"
"Mstate_simple_TAM_immunosuppressive","Tstate_simple_exhausted",3,"HC_lenient, PC_lenient, TABU_lenient"
"Mstate_simple_TAM_immunosuppressive","prop_Fibroblast",3,"HC_lenient, PC_lenient, TABU_lenient"
"Mstate_simple_dendritic_cell","prop_B",3,"HC_lenient, PC_lenient, TABU_lenient"
"prop_CD4_T","Tcell_Myeloid_ratio",3,"HC_lenient, PC_lenient, TABU_lenient"
"prop_Endothelial_cells","CD8_CD4_ratio",3,"HC_lenient, PC_lenient, TABU_lenient"
"prop_Fibroblast","prop_Endothelial_cells",3,"HC_lenient, PC_lenient, TABU_lenient"
"prop_NK","prop_CD8_T",3,"HC_lenient, PC_lenient, TABU_lenient"
"CD8_CD4_ratio","Tstate_simple_regulatory",2,"HC_lenient, TABU_lenient"
"Mstate_simple_TAM_immunosuppressive","Mstate_simple_dendritic_cell",2,"HC_lenient, TABU_lenient"
"Mstate_simple_TAM_immunosuppressive","Tcell_Myeloid_ratio",2,"HC_lenient, TABU_lenient"
"Mstate_simple_TAM_immunosuppressive","prop_Epithelial_cells",2,"HC_lenient, TABU_lenient"
"Tcell_Myeloid_ratio","Mstate_simple_dendritic_cell",2,"HC_lenient, TABU_lenient"
"Tstate_simple_cytotoxic","CD8_CD4_ratio",2,"HC_lenient, TABU_lenient"
"Tstate_simple_cytotoxic","Mstate_simple_TAM_immunosuppressive",2,"HC_lenient, TABU_lenient"
"Tstate_simple_cytotoxic","Tstate_simple_exhausted",2,"PC_lenient, TABU_lenient"
"prop_B","prop_Endothelial_cells",2,"HC_lenient, TABU_lenient"
"prop_CD4_T","Immune_Tumor_ratio",2,"HC_lenient, TABU_lenient"
"prop_CD4_T","Mstate_simple_TAM_immunosuppressive",2,"HC_lenient, TABU_lenient"
"prop_CD8_T","Immune_Tumor_ratio",2,"HC_lenient, TABU_lenient"
"prop_Epithelial_cells","Tstate_simple_regulatory",2,"HC_lenient, TABU_lenient"
"prop_Epithelial_cells","prop_CD8_T",2,"HC_lenient, TABU_lenient"
"prop_Fibroblast","Tstate_simple_regulatory",2,"HC_lenient, TABU_lenient"
"prop_NK","Tstate_simple_cytotoxic",2,"HC_lenient, TABU_lenient"
"Immune_Tumor_ratio","prop_CD4_T",1,"PC_lenient"
"Mstate_simple_TAM_immunosuppressive","prop_CD4_T",1,"PC_lenient"
"Mstate_simple_dendritic_cell","Tcell_Myeloid_ratio",1,"PC_lenient"
"Tstate_simple_cytotoxic","prop_NK",1,"PC_lenient"
"Tstate_simple_exhausted","prop_CD8_T",1,"HC_lenient"
"Tstate_simple_exhausted","prop_Fibroblast",1,"TABU_lenient"
"Tstate_simple_regulatory","Tstate_simple_cytotoxic",1,"PC_lenient"
"Tstate_simple_regulatory","prop_Epithelial_cells",1,"PC_lenient"
"prop_CD8_T","Tstate_simple_exhausted",1,"TABU_lenient"
"prop_Fibroblast","Tstate_simple_exhausted",1,"HC_lenient"
