"from","to","strength","direction"
"prop_Epithelial_cells","Mstate_simple_TAM_immunosuppressive",0.958,0.492643646661029
"Mstate_simple_TAM_immunosuppressive","prop_Epithelial_cells",0.958,0.50735635333897
"Tstate_simple_cytotoxic","prop_NK",0.948,0.536648973835734
"prop_NK","Tstate_simple_cytotoxic",0.948,0.463351026164266
"prop_Fibroblast","Mstate_simple_TAM_immunosuppressive",0.947,0.354752969139838
"Mstate_simple_TAM_immunosuppressive","prop_Fibroblast",0.947,0.645247030860162
"Mstate_simple_TAM_immunosuppressive","Mstate_simple_dendritic_cell",0.945,0.808455061130383
"Mstate_simple_dendritic_cell","Mstate_simple_TAM_immunosuppressive",0.945,0.191544938869617
"Tstate_simple_regulatory","Tstate_simple_cytotoxic",0.865,0.475947527459387
"Tstate_simple_cytotoxic","Tstate_simple_regulatory",0.865,0.524052472540613
"Mstate_simple_TAM_immunosuppressive","Tstate_simple_exhausted",0.845,0.635070810169198
"Tstate_simple_exhausted","Mstate_simple_TAM_immunosuppressive",0.845,0.364929189830802
"prop_Epithelial_cells","Tstate_simple_regulatory",0.803,0.654794851397991
"Tstate_simple_regulatory","prop_Epithelial_cells",0.803,0.345205148602009
"Mstate_simple_dendritic_cell","Tstate_simple_cytotoxic",0.686,0.260435873885612
"Tstate_simple_cytotoxic","Mstate_simple_dendritic_cell",0.686,0.739564126114388
"Tstate_simple_exhausted","Tstate_simple_cytotoxic",0.677,0.555418058649463
"Tstate_simple_cytotoxic","Tstate_simple_exhausted",0.677,0.444581941350537
"prop_Fibroblast","Tstate_simple_exhausted",0.383,0.437943524888754
"Tstate_simple_exhausted","prop_Fibroblast",0.383,0.562056475111246
