"from","to","strength","direction"
"Mstate_simple_TAM_immunosuppressive","Mstate_simple_dendritic_cell",0.986,0.105510672075256
"Mstate_simple_dendritic_cell","Mstate_simple_TAM_immunosuppressive",0.986,0.894489327924744
"prop_Epithelial_cells","Groups_num",0.977,0
"Groups_num","prop_Epithelial_cells",0.977,1
"Mstate_simple_TAM_immunosuppressive","Groups_num",0.935,0
"Groups_num","Mstate_simple_TAM_immunosuppressive",0.935,1
"Tstate_simple_cytotoxic","prop_NK",0.933,0.634709711156208
"prop_NK","Tstate_simple_cytotoxic",0.933,0.365290288843792
"prop_Epithelial_cells","Mstate_simple_dendritic_cell",0.931,0.123691131298173
"Mstate_simple_dendritic_cell","prop_Epithelial_cells",0.931,0.876308868701827
"Tstate_simple_exhausted","Groups_num",0.792,0
"Groups_num","Tstate_simple_exhausted",0.792,1
"prop_Fibroblast","Tstate_simple_exhausted",0.766,1
"Tstate_simple_exhausted","prop_Fibroblast",0.766,0
"Tstate_simple_regulatory","Groups_num",0.72,0
"Groups_num","Tstate_simple_regulatory",0.72,1
"Tstate_simple_cytotoxic","Groups_num",0.674,0
"Groups_num","Tstate_simple_cytotoxic",0.674,1
"Mstate_simple_dendritic_cell","Tstate_simple_exhausted",0.636,0.937572307525693
"Tstate_simple_exhausted","Mstate_simple_dendritic_cell",0.636,0.0624276924743065
"prop_Epithelial_cells","prop_Fibroblast",0.585,0.121481989867862
"prop_Fibroblast","prop_Epithelial_cells",0.585,0.878518010132138
"prop_Epithelial_cells","Tstate_simple_exhausted",0.567,1
"Tstate_simple_exhausted","prop_Epithelial_cells",0.567,0
"prop_Fibroblast","Mstate_simple_TAM_immunosuppressive",0.559,0.0924503866626001
"Mstate_simple_TAM_immunosuppressive","prop_Fibroblast",0.559,0.9075496133374
"prop_Fibroblast","Groups_num",0.504,0
"Groups_num","prop_Fibroblast",0.504,1
"Tstate_simple_regulatory","Tstate_simple_cytotoxic",0.492,0.598645831649797
"Tstate_simple_cytotoxic","Tstate_simple_regulatory",0.492,0.401354168350203
"Mstate_simple_dendritic_cell","Tstate_simple_cytotoxic",0.465,0.811073026628584
"Tstate_simple_cytotoxic","Mstate_simple_dendritic_cell",0.465,0.188926973371416
"prop_Fibroblast","Tstate_simple_cytotoxic",0.366,1
"Tstate_simple_cytotoxic","prop_Fibroblast",0.366,0
"Mstate_simple_TAM_immunosuppressive","Tstate_simple_exhausted",0.352,0.897674061721792
"Tstate_simple_exhausted","Mstate_simple_TAM_immunosuppressive",0.352,0.102325938278208
"prop_Epithelial_cells","Tstate_simple_regulatory",0.348,1
"Tstate_simple_regulatory","prop_Epithelial_cells",0.348,0
"prop_NK","Groups_num",0.345,0
"Groups_num","prop_NK",0.345,1
"Tstate_simple_exhausted","Tstate_simple_cytotoxic",0.329,0.822502161602771
"Tstate_simple_cytotoxic","Tstate_simple_exhausted",0.329,0.177497838397229
"Mstate_simple_TAM_immunosuppressive","Tstate_simple_regulatory",0.328,0.123652644499379
"Tstate_simple_regulatory","Mstate_simple_TAM_immunosuppressive",0.328,0.876347355500621
"prop_Epithelial_cells","Mstate_simple_TAM_immunosuppressive",0.313,0.44957498742009
"Mstate_simple_TAM_immunosuppressive","prop_Epithelial_cells",0.313,0.55042501257991
