"from","to","n_methods","methods"
"Mstate_simple_TAM_immunosuppressive","Groups_num",2,"Bootstrap_50pct, PC_stringent"
"Tstate_simple_cytotoxic","prop_NK",2,"Bootstrap_50pct, PC_stringent"
"prop_Epithelial_cells","Groups_num",2,"Bootstrap_50pct, PC_stringent"
"Groups_num","Mstate_simple_TAM_immunosuppressive",1,"Bootstrap_50pct"
"Groups_num","Tstate_simple_cytotoxic",1,"Bootstrap_50pct"
"Groups_num","Tstate_simple_exhausted",1,"Bootstrap_50pct"
"Groups_num","Tstate_simple_regulatory",1,"Bootstrap_50pct"
"Groups_num","prop_Epithelial_cells",1,"Bootstrap_50pct"
"Groups_num","prop_Fibroblast",1,"Bootstrap_50pct"
"Mstate_simple_TAM_immunosuppressive","Mstate_simple_dendritic_cell",1,"Bootstrap_50pct"
"Mstate_simple_TAM_immunosuppressive","prop_Fibroblast",1,"Bootstrap_50pct"
"Mstate_simple_dendritic_cell","Mstate_simple_TAM_immunosuppressive",1,"Bootstrap_50pct"
"Mstate_simple_dendritic_cell","Tstate_simple_exhausted",1,"Bootstrap_50pct"
"Mstate_simple_dendritic_cell","prop_Epithelial_cells",1,"Bootstrap_50pct"
"Tstate_simple_cytotoxic","Groups_num",1,"Bootstrap_50pct"
"Tstate_simple_exhausted","Groups_num",1,"Bootstrap_50pct"
"Tstate_simple_exhausted","Mstate_simple_dendritic_cell",1,"Bootstrap_50pct"
"Tstate_simple_exhausted","prop_Epithelial_cells",1,"Bootstrap_50pct"
"Tstate_simple_exhausted","prop_Fibroblast",1,"Bootstrap_50pct"
"Tstate_simple_regulatory","Groups_num",1,"Bootstrap_50pct"
"prop_Epithelial_cells","Mstate_simple_dendritic_cell",1,"Bootstrap_50pct"
"prop_Epithelial_cells","Tstate_simple_exhausted",1,"Bootstrap_50pct"
"prop_Epithelial_cells","prop_Fibroblast",1,"Bootstrap_50pct"
"prop_Fibroblast","Groups_num",1,"Bootstrap_50pct"
"prop_Fibroblast","Mstate_simple_TAM_immunosuppressive",1,"Bootstrap_50pct"
"prop_Fibroblast","Tstate_simple_exhausted",1,"Bootstrap_50pct"
"prop_Fibroblast","prop_Epithelial_cells",1,"Bootstrap_50pct"
"prop_NK","Tstate_simple_cytotoxic",1,"Bootstrap_50pct"
