"from","to","n_methods","methods"
"Tstate_simple_cytotoxic","prop_NK",3,"HC_lenient, PC_lenient, TABU_lenient"
"Groups_num","Mstate_simple_TAM_immunosuppressive",2,"HC_lenient, TABU_lenient"
"Groups_num","Tstate_simple_cytotoxic",2,"HC_lenient, TABU_lenient"
"Groups_num","Tstate_simple_exhausted",2,"HC_lenient, TABU_lenient"
"Groups_num","Tstate_simple_regulatory",2,"HC_lenient, TABU_lenient"
"Groups_num","prop_Epithelial_cells",2,"HC_lenient, TABU_lenient"
"Mstate_simple_TAM_immunosuppressive","prop_Fibroblast",2,"HC_lenient, TABU_lenient"
"Mstate_simple_dendritic_cell","Mstate_simple_TAM_immunosuppressive",2,"HC_lenient, TABU_lenient"
"Mstate_simple_dendritic_cell","Tstate_simple_exhausted",2,"HC_lenient, TABU_lenient"
"Mstate_simple_dendritic_cell","prop_Epithelial_cells",2,"HC_lenient, TABU_lenient"
"prop_Epithelial_cells","Tstate_simple_exhausted",2,"HC_lenient, TABU_lenient"
"prop_Fibroblast","Tstate_simple_cytotoxic",2,"HC_lenient, TABU_lenient"
"prop_Fibroblast","Tstate_simple_exhausted",2,"HC_lenient, TABU_lenient"
"prop_Fibroblast","prop_Epithelial_cells",2,"HC_lenient, TABU_lenient"
"Mstate_simple_TAM_immunosuppressive","Groups_num",1,"PC_lenient"
"Mstate_simple_TAM_immunosuppressive","Mstate_simple_dendritic_cell",1,"PC_lenient"
"prop_Epithelial_cells","Groups_num",1,"PC_lenient"
