"Samples","Patients","Groups","prop_CD8_T","prop_CD4_T","prop_Epithelial_cells","prop_Fibroblast","prop_NK","prop_B","prop_Endothelial_cells","CD8_CD4_ratio","Immune_Tumor_ratio","Tcell_Myeloid_ratio","Tstate_simple_exhausted","Tstate_simple_cytotoxic","Tstate_simple_regulatory","Mstate_simple_TAM_immunosuppressive","Mstate_simple_dendritic_cell"
"C1_PT","C1","Primary Tumor",0.0615796519410977,0.0227576974564926,0.836144578313253,0.00214190093708166,0.00562248995983936,0,0.00535475234270415,2.68604651162791,0.17381562099872,1.52657004830918,0.33968253968254,0.0158730158730159,0.104761904761905,0.878640776699029,0.0679611650485437
"ECO1_AS","ECO1","Ascites",0.00173160173160173,0.00207792207792208,0.00935064935064935,8.65800865800866e-05,0.00164502164502165,0.00268398268398268,0,0.84,102.504587155963,0.00406173842404549,0.0454545454545455,0.159090909090909,0.0227272727272727,0.930312330745622,0.036558945658061
"ECO1_BC","ECO1","PBMC",0.210834145662164,0.354546720512463,0,0,0.107923687508704,0.0593232140370422,0,0.594817432273263,7134,2.16817939135077,0.000246305418719212,0.288423645320197,0.0369458128078818,0.00106837606837607,0.032051282051282
"ECO1_LN","ECO1","Lymph Node",0.132048192771084,0.674148020654045,0,0.000137693631669535,0.0297418244406196,0.114767641996558,0.00991394148020654,0.195956295312979,14102,39.9692832764505,0.000426985482493595,0.0127241673783091,0.0884713919726729,0.0410958904109589,0.900684931506849
"ECO1_MT","ECO1","Metastatic Tumor",0.191050731521946,0.0107353220596618,0.372506175185256,0.185730571917158,0.0402812084362531,0.0137754132623979,0.0993729811894357,17.6491228070175,0.784038755736869,5.56282722513089,0.00376647834274953,0.164312617702448,0.0348399246704331,0.724409448818898,0.115485564304462
"ECO1_PT","ECO1","Primary Tumor",0.0175019888623707,0.000113649278327083,0.524264120922832,0.233435617683828,0.00306853051483123,0,0.0876235935901807,77.5,0.11616818378847,0.440677966101695,0,0.296774193548387,0,0.909348441926346,0.0113314447592068
"HGSOC10_AS","HGSOC10","Ascites",0.295744680851064,0.17063829787234,0.0212765957446809,0,0.306382978723404,0.0323404255319149,0,1.73134328358209,42.7647058823529,3.79584775086505,0.0291970802919708,0.257299270072993,0.0921532846715328,0.243055555555556,0.388888888888889
"HGSOC10_PT","HGSOC10","Primary Tumor",0.0884198516828294,0.0171135196805476,0.480889903023388,0.112378779235596,0.0139760410724472,0.00285225328009127,0.00998288648031945,5.0983606557377,0.700059276822762,0.493351063829787,0.178378378378378,0.0135135135135135,0.132432432432432,0.916111850865513,0.0159786950732357
"HGSOC1_AS","HGSOC1","Ascites",0.368585526315789,0.243421052631579,0.00361842105263158,0,0.114473684210526,0.0805921052631579,0,1.51384199864956,258.652173913043,3.57197696737044,0.100779360386993,0.188927707605482,0.0886858371405536,0.123919308357349,0.539865513928914
"HGSOC1_BC","HGSOC1","PBMC",0.112928632012601,0.508663516297104,0,0,0.0607051981097783,0.115836665454986,0,0.222195760895451,8192,3.19688473520249,0,0.104093567251462,0.0345029239766082,0.00124688279301746,0.0480049875311721
