"from","to","strength","direction"
"Tstate_simple_cytotoxic","prop_NK",0.97,0.534072598596777
"prop_NK","Tstate_simple_cytotoxic",0.97,0.465927401403223
"prop_Epithelial_cells","Mstate_simple_dendritic_cell",0.896,0.665747976101338
"Mstate_simple_dendritic_cell","prop_Epithelial_cells",0.896,0.334252023898662
"Tstate_simple_exhausted","Tstate_simple_cytotoxic",0.87,0.400957234498074
"Tstate_simple_cytotoxic","Tstate_simple_exhausted",0.87,0.599042765501926
"Tstate_simple_regulatory","Tstate_simple_cytotoxic",0.865,0.472469449317302
"Tstate_simple_cytotoxic","Tstate_simple_regulatory",0.865,0.527530550682698
"prop_Epithelial_cells","Tstate_simple_regulatory",0.803,0.514623312601107
"Tstate_simple_regulatory","prop_Epithelial_cells",0.803,0.485376687398893
"Mstate_simple_dendritic_cell","Tstate_simple_cytotoxic",0.553,0.451760035278661
"Tstate_simple_cytotoxic","Mstate_simple_dendritic_cell",0.553,0.548239964721339
"prop_Epithelial_cells","Tstate_simple_exhausted",0.483,0.533195820920708
"Tstate_simple_exhausted","prop_Epithelial_cells",0.483,0.466804179079292
"Mstate_simple_dendritic_cell","Tstate_simple_exhausted",0.403,0.733552132570283
"Tstate_simple_exhausted","Mstate_simple_dendritic_cell",0.403,0.266447867429717
"prop_Epithelial_cells","prop_Fibroblast",0.395,0.594880496755497
"prop_Fibroblast","prop_Epithelial_cells",0.395,0.405119503244503
"prop_Fibroblast","prop_NK",0.338,0.732531091967103
"prop_NK","prop_Fibroblast",0.338,0.267468908032897
