"from","to","n_methods","methods"
"Mstate_simple_TAM_immunosuppressive","prop_Epithelial_cells",2,"Bootstrap_50pct, PC_stringent"
"Mstate_simple_TAM_immunosuppressive","prop_Fibroblast",2,"Bootstrap_50pct, PC_stringent"
"prop_Epithelial_cells","Tstate_simple_regulatory",2,"Bootstrap_50pct, PC_stringent"
"Mstate_simple_TAM_immunosuppressive","Mstate_simple_dendritic_cell",1,"Bootstrap_50pct"
"Mstate_simple_TAM_immunosuppressive","Tstate_simple_exhausted",1,"Bootstrap_50pct"
"Mstate_simple_dendritic_cell","Mstate_simple_TAM_immunosuppressive",1,"Bootstrap_50pct"
"Tstate_simple_exhausted","Mstate_simple_TAM_immunosuppressive",1,"Bootstrap_50pct"
"Tstate_simple_regulatory","prop_Epithelial_cells",1,"Bootstrap_50pct"
"prop_Epithelial_cells","Mstate_simple_TAM_immunosuppressive",1,"Bootstrap_50pct"
"prop_Fibroblast","Mstate_simple_TAM_immunosuppressive",1,"Bootstrap_50pct"
