"feature","mean_Primary Tumor","mean_Metastatic Tumor","mean_Lymph Node","mean_Ascites","mean_PBMC","sd_Primary Tumor","sd_Metastatic Tumor","sd_Lymph Node","sd_Ascites","sd_PBMC"
"CD8_CD4_ratio",8.17780092371425,5.59734586932615,0.214026308923854,1.41502408427329,0.418894169864192,20.900212850424,6.82206534049345,0.0606512500517278,0.893936329959386,0.151766767339739
"Immune_Tumor_ratio",22.4546742580487,4.46730150058638,6445.85534591195,636.477681243695,4637.77083333333,78.1118198376019,6.40231490519711,6271.93907736344,1400.58707587357,3461.50095010881
"Mstate_simple_TAM_immunosuppressive",0.772482847673418,0.754723847164473,0.0992964366127776,0.410208563633623,0.000722795709460015,0.226085277474846,0.189726585372204,0.111897612546739,0.283506117339637,0.00048375376709722
"Mstate_simple_dendritic_cell",0.0861823364895185,0.0944619782069417,0.807390882675775,0.216317530832585,0.0340869925677546,0.138063248703831,0.0464893654212753,0.147883121706099,0.190147187444202,0.00933767338407442
"Tcell_Myeloid_ratio",3.49061198644512,1.91982861548695,37.3247172996342,2.08142054484445,1.84033862812617,8.12043306516582,2.05969594565107,20.1035739599512,2.00268984935179,0.869631799252008
"Tstate_simple_cytotoxic",0.0389080795768062,0.0394589463410818,0.00533093511809241,0.175557626918728,0.177914691290583,0.0814702458607341,0.0698256617229532,0.00475519811877546,0.0997273115084713,0.0976454725793409
"Tstate_simple_exhausted",0.206488558289561,0.217535800584412,0.00402066454232757,0.0252814344961615,4.10509031198686e-05,0.154284832781347,0.287836847628152,0.00595941184911926,0.0320625796665288,0.000100553766124104
"Tstate_simple_regulatory",0.285970561327536,0.180576445558296,0.099623740900634,0.0579825657031856,0.0409025501002459,0.223714162137473,0.109352368024351,0.0488297833051824,0.037757996091417,0.0146602189043366
"prop_B",0.010907563473445,0.0473530564455661,0.290386378108141,0.0273934047753741,0.0897148996447031,0.016653059548104,0.0741741339239147,0.149491661315848,0.0228476345446301,0.0409888919023854
"prop_CD4_T",0.05817196311072,0.0605293934488773,0.523358579745034,0.173670915986429,0.361467947002179,0.0906073824652933,0.0336930321348395,0.162253294275489,0.133542741443307,0.0919427464145811
"prop_CD8_T",0.094082050493058,0.17941667180845,0.104857194315638,0.212038596138088,0.142652916454731,0.132118178314108,0.0800796372640879,0.0193023873198921,0.122706899260266,0.0416546113007171
"prop_Endothelial_cells",0.0174181678270796,0.0298267675895807,0.015070619485401,0,0,0.0234880543994142,0.0394786014483335,0.0126614803107012,0,0
"prop_Epithelial_cells",0.503287319999382,0.289529164902898,0.00306078498423192,0.0380314329262678,0.000419894220504751,0.27221043211965,0.199523588391048,0.00584783432315691,0.0545156822998246,0.00079854926092904
"prop_Fibroblast",0.078660766109725,0.101125929268013,0.000186771100196064,0.000328131976684478,0,0.0829020632052182,0.0986311241802958,0.000120577223074893,0.000661414227505955,0
"prop_NK",0.0271433739665313,0.0273496087334485,0.0216577353862016,0.118009518353594,0.0813262786488347,0.0412719057287439,0.0156768544164927,0.00458067247980579,0.102981807819093,0.0511935401245913
